,year,zipcode,beds_x,id,name,maxof"
43,2015,3040,bed1,-27291,Aberfeldie,"-27291"
1,2015,3206,bed1,-24920,Albert Park,"-24920"
2,2015,3205,bed1,-19018,South Melbourne,"-19018"
105,2015,3032,bed0,0,Maribyrnong,"-27344"
103,2015,3041,bed0,0,Strathmore Heights,"-30052"
101,2015,3204,bed0,0,McKinnon,"-15150"
7,2015,3185,bed1,-27173,Elsternwick,"-27173"
8,2015,3184,bed1,-8851,Elwood,"-8851"
9,2015,3183,bed1,-6521,Balaclava,"-6521"
10,2015,3182,bed1,91852,St Kilda,"91852"
100,2015,3046,bed0,0,Oak Park,"-11975"
99,2015,3041,bed0,0,Strathmore,"-30052"
29,2015,3072,bed1,-27260,Preston,"-27260"
65,2015,3011,bed0,0,Seddon,"-18974"
97,2015,3185,bed0,0,Ripponlea,"-27173"
16,2015,3146,bed1,-30385,Glen Iris,"-30385"
96,2015,3031,bed0,0,Kensington,"-27266"
95,2015,3163,bed0,0,Murrumbeena,"-24919"
94,2015,3040,bed0,0,Essendon,"-27291"
20,2015,3142,bed1,-24681,Toorak,"-24681"
21,2015,3141,bed1,54035,South Yarra,"54035"
22,2015,3123,bed1,-30809,Hawthorn East,"-30809"
23,2015,3122,bed1,-18945,Hawthorn,"-18945"
24,2015,3121,bed1,12130,Burnley,"12130"
93,2015,3183,bed1,91852,St Kilda East,"-6521"
91,2015,3032,bed0,0,Travancore,"-27344"
87,2015,3163,bed2,-29000,Glen Huntly,"-24919"
98,2015,3182,bed1,91852,St Kilda West,"91852"
13,2015,3163,bed1,-24919,Carnegie,"-24919"
30,2015,3070,bed1,-16888,Northcote,"-16888"
3,2015,3204,bed1,-15150,Bentleigh,"-15150"
31,2015,3068,bed1,-18382,Clifton Hill,"-18382"
32,2015,3066,bed1,-14969,Collingwood,"-14969"
33,2015,3065,bed1,-10559,Fitzroy,"-10559"
34,2015,3058,bed1,-29683,Coburg,"-29683"
35,2015,3057,bed1,-25681,Brunswick East,"-25681"
36,2015,3056,bed1,68975,Brunswick,"68975"
37,2015,3055,bed1,-29166,Brunswick West,"-29166"
84,2015,3058,bed0,0,Coburg North,"-29683"
39,2015,3053,bed1,-1925,Carlton,"-1925"
40,2015,3051,bed1,-12892,North Melbourne,"-12892"
64,2015,3041,bed0,0,Essendon North,"-30052"
42,2015,3041,bed1,-30052,Essendon Fields,"-30052"
107,2015,3040,bed0,0,Essendon West,"-27291"
44,2015,3039,bed1,-29714,Moonee Ponds,"-29714"
45,2015,3032,bed1,-27344,Ascot Vale,"-27344"
41,2015,3046,bed1,-11975,Glenroy,"-11975"
47,2015,3013,bed1,-25639,Yarraville,"-25639"
80,2015,3204,bed0,0,Ormond,"-15150"
46,2015,3031,bed1,-27266,Flemington,"-27266"
59,2015,3068,bed0,0,Fitzroy North,"-18382"
55,2015,3121,bed1,167146,Cremorne,"12130"
54,2015,3000,bed1,370650,Melbourne (3000),"370650"
60,2015,3185,bed0,0,Gardenvale,"-27173"
81,2015,3121,bed1,12130,Richmond,"12130"
51,2015,3004,bed1,167145,Melbourne (3004),"167145"
82,2015,3206,bed0,0,Middle Park,"-24920"
83,2015,3046,bed0,-29000,Hadfield,"-11975"
48,2015,3011,bed1,-18974,Footscray,"-18974"
53,2015,3002,bed1,-21702,East Melbourne,"-21702"
11,2015,3181,bed2,-11376,Prahran,"-11376"
4,2015,3191,bed2,-30649,Sandringham,"-30649"
62,2015,3162,bed2,-26064,Caulfield South,"-26064"
61,2015,3181,bed2,167146,Windsor,"-11376"
52,2015,3003,bed2,-18306,West Melbourne,"-18306"
50,2015,3006,bed2,82458,South Wharf,"82458"
49,2015,3008,bed2,17653,Docklands,"17653"
38,2015,3054,bed2,-28235,Carlton North,"-28235"
28,2015,3073,bed2,-28431,Reservoir,"-28431"
6,2015,3186,bed2,-33193,Brighton,"-33193"
79,2015,3006,bed1,82458,Southbank,"82458"
71,2015,3054,bed0,0,Princes Hill,"-28235"
19,2015,3143,bed2,-31015,Armadale,"-31015"
17,2015,3145,bed2,-23199,Caulfield East,"-23199"
15,2015,3161,bed2,-22186,Caulfield North,"-22186"
14,2015,3162,bed2,-26064,Caulfield,"-26064"
27,2015,3083,bed2,-27429,Kingsbury,"-27429"
0,2015,3207,bed2,-25507,Port Melbourne,"-25507"
85,2015,3145,bed2,-31000,Malvern East,"-23199"
26,2015,3101,bed2,-32984,Kew,"-32984"
12,2015,3166,bed3,-35218,Hughesdale,"-35218"
86,2015,3144,bed2,-31000,Malvern,"-10175"
18,2015,3144,bed3,-10175,Kooyong,"-10175"
110,2015,3188,bed0,0,Hampton East,"-30523"
76,2015,3103,bed0,0,Deepdene,"-35859"
5,2015,3188,bed3,-30523,Hampton,"-30523"
25,2015,3103,bed3,-35859,Balwyn,"-35859"
102,2015,3043,bed0,0,Gowanbrae,"Null"
104,2015,3187,bed1,-33193,Brighton East,"Null"
106,2015,3165,bed0,0,Bentleigh East,"Null"
108,2015,3018,bed0,0,Seaholme,"Null"
119,2015,3018,bed0,0,Altona,"Null"
109,2015,3042,bed0,0,Niddrie,"Null"
111,2015,3015,bed0,0,Spotswood,"Null"
112,2015,3015,bed0,0,Newport,"Null"
114,2015,3012,bed1,-18974,West Footscray,"Null"
115,2015,3019,bed0,0,Braybrook,"Null"
116,2015,3193,bed0,0,Beaumaris,"Null"
117,2015,3016,bed0,0,Williamstown,"Null"
118,2015,3025,bed0,0,Altona North,"Null"
92,2015,3044,bed1,-29000,Pascoe Vale,"Null"
113,2015,3034,bed0,0,Avondale Heights,"Null"
90,2015,3044,bed1,-29000,Pascoe Vale South,"Null"
72,2015,3067,bed0,0,Abbotsford,"Null"
88,2015,3060,bed1,-29000,Fawkner,"Null"
120,2015,3028,bed0,0,Altona Meadows,"Null"
56,2015,3012,bed0,0,Kingsville,"Null"
57,2015,3015,bed0,0,South Kingsville,"Null"
58,2015,3012,bed0,0,Tottenham,"Null"
63,2015,3012,bed0,0,Maidstone,"Null"
66,2015,3042,bed0,0,Airport West,"Null"
67,2015,3193,bed0,0,Black Rock,"Null"
68,2015,3016,bed0,0,Williamstown North,"Null"
69,2015,3078,bed0,0,Fairfield,"Null"
70,2015,3712,bed0,0,Thornbury,"Null"
73,2015,3052,bed0,0,Parkville,"Null"
74,2015,3104,bed0,0,Balwyn North,"Null"
75,2015,3102,bed0,0,Kew East,"Null"
77,2015,3126,bed0,0,Canterbury,"Null"
78,2015,3124,bed0,0,Camberwell,"Null"
89,2015,3147,bed0,0,Ashburton,"Null"
121,2015,3028,bed0,0,Seabrook,"Null"