zipcode,beds,Latitude (generated),Longitude (generated),max of all
3207,2 beds,-37.8347,144.9233,"-25,507.40"
3206,1 bed,-37.8464,144.9603,"-24,920.73"
3205,1 bed,-37.8337,144.9605,"-19,018.46"
3204,1 bed,-37.916,145.0375,"-15,150.38"
3199,1 bed,-38.1625,145.1317,"-21,464.97"
3198,1 bed,-38.1057,145.1422,"-13,758.59"
3196,2 beds,-38.0498,145.128,"-13,503.65"
3192,2 beds,-37.9617,145.0564,"-31,963.99"
3191,2 beds,-37.9538,145.0144,"-30,649.34"
3190,3 beds,-37.9505,145.0399,"-32,518.23"
3188,3 beds,-37.9375,145.0169,"-30,523.77"
3186,2 beds,-37.9079,144.9969,"-33,193.12"
3185,1 bed,-37.887,145.0072,"-27,173.71"
3184,1 bed,-37.8808,144.9855,"-8,851.75"
3183,1 bed,-37.868,145,"-6,521.33"
3182,1 bed,-37.8639,144.9811,"91,852.91"
3181,2 beds,-37.8525,144.9966,"-11,376.35"
3166,3 beds,-37.9002,145.1,"-35,218.97"
3163,1 bed,-37.8947,145.0566,"-24,919.78"
3162,2 beds,-37.8914,145.0256,"-26,064.89"
3161,2 beds,-37.871,145.0219,"-22,186.72"
3150,2 beds,-37.8922,145.1724,"-32,545.06"
3146,1 bed,-37.8563,145.0678,"-30,385.87"
3145,2 beds,-37.8779,145.0632,"-23,199.03"
3144,3 beds,-37.8552,145.0348,"-10,175.54"
3143,2 beds,-37.8576,145.0197,"-31,015.45"
3142,1 bed,-37.8409,145.0181,"-24,681.21"
3141,1 bed,-37.8382,144.9915,"54,035.70"
3130,1 bed,-37.823,145.1517,"-33,099.54"
3128,2 beds,-37.8293,145.1246,"-7,734.55"
3127,2 beds,-37.8236,145.1,"-34,784.12"
3125,3 beds,-37.8486,145.1145,"-22,186.89"
3123,1 bed,-37.8321,145.0498,"-30,809.84"
3122,1 bed,-37.8286,145.0344,"-18,945.52"
3121,1 bed,-37.8222,145.0025,"12,130.07"
3109,1 bed,-37.7742,145.1705,"-34,506.39"
3108,2 beds,-37.7829,145.1221,"-29,691.80"
3103,3 beds,-37.8098,145.0806,"-35,859.07"
3101,2 beds,-37.8014,145.0411,"-32,984.88"
3084,2 beds,-37.7487,145.0779,"-31,552.15"
3083,2 beds,-37.7029,145.0559,"-27,429.10"
3073,2 beds,-37.7125,145.0022,"-28,431.93"
3072,1 bed,-37.7412,145.0067,"-27,260.96"
3070,1 bed,-37.7721,145.0008,"-16,888.64"
3068,1 bed,-37.7849,144.9866,"-18,382.37"
3066,1 bed,-37.8019,144.9882,"-14,969.52"
3065,1 bed,-37.801,144.9791,"-10,559.16"
3058,1 bed,-37.7373,144.9658,"-29,683.70"
3057,1 bed,-37.7686,144.978,"-25,681.66"
3056,1 bed,-37.7669,144.9605,"68,975.70"
3055,1 bed,-37.7635,144.9442,"-29,166.81"
3054,2 beds,-37.7855,144.9682,"-28,235.81"
3053,1 bed,-37.8,144.9693,"-1,925.96"
3051,1 bed,-37.7969,144.9437,"-12,892.99"
3046,1 bed,-37.7086,144.9295,"-11,975.57"
3041,1 bed,-37.727,144.9063,"-30,052.56"
3040,1 bed,-37.7515,144.9035,"-27,291.60"
3039,1 bed,-37.7653,144.9199,"-29,714.73"
3032,1 bed,-37.7727,144.8987,"-27,344.64"
3031,1 bed,-37.7913,144.9198,"-27,266.01"
3030,1 bed,-37.9369,144.6705,"-27,167.19"
3023,1 bed,-37.7495,144.7405,"-23,073.32"
3013,1 bed,-37.818,144.8827,"-25,639.93"
3011,1 bed,-37.8008,144.8959,"-18,974.79"
3008,2 beds,-37.8176,144.9381,"17,653.68"
3006,2 beds,-37.8253,144.9593,"82,458.52"
3004,1 bed,-37.8353,144.974,"167,145.87"
3003,2 beds,-37.8108,144.9204,"-18,306.41"
3002,1 bed,-37.8155,144.9827,"-21,702.06"
3000,1 bed,-37.8111,144.9646,"370,650.06"